,OPEN,HIGH,LOW,CLOSE,RSI
2014-01-24 00:00:00.005,2037.667,2060.986,2034.453,2054.392,0.0
2014-01-27 00:00:00.005,2044.272,2044.846,2029.626,2033.3,0.0
2014-01-28 00:00:00.005,2036.402,2047.129,2026.987,2038.513,0.0
2014-01-29 00:00:00.005,2042.176,2051.583,2039.771,2049.914,0.0
2014-01-30 00:00:00.005,2045.931,2045.931,2031.466,2033.083,0.0
2014-02-07 00:00:00.005,2022.323,2044.73,2014.698,2044.497,0.0
2014-02-10 00:00:00.005,2049.984,2087.975,2049.984,2086.067,0.0
2014-02-11 00:00:00.005,2086.177,2111.061,2082.522,2103.671,0.0
2014-02-12 00:00:00.005,2103.828,2110.904,2096.509,2109.955,0.0
2014-02-13 00:00:00.005,2106.934,2122.826,2096.966,2098.401,0.0
2014-02-14 00:00:00.005,2097.32,2116.186,2095.09,2115.848,0.0
2014-02-17 00:00:00.005,2124.88,2136.447,2117.689,2135.415,0.0
2014-02-18 00:00:00.005,2134.143,2134.143,2113.128,2119.066,0.0
2014-02-19 00:00:00.005,2116.919,2152.961,2111.168,2142.554,0.0
2014-02-20 00:00:00.005,2152.891,2177.978,2136.481,2138.782,0.0
2014-02-21 00:00:00.005,2131.592,2132.703,2098.328,2113.693,0.0
2014-02-24 00:00:00.005,2099.717,2099.717,2058.791,2076.686,0.0
2014-02-25 00:00:00.005,2077.285,2087.616,2026.543,2034.219,0.0
2014-02-26 00:00:00.005,2026.61,2041.627,2014.381,2041.254,0.0
2014-02-27 00:00:00.005,2045.096,2068.314,2036.391,2047.354,0.0
2014-02-28 00:00:00.005,2040.624,2058.489,2020.935,2056.302,0.0
2014-03-03 00:00:00.005,2052.075,2078.333,2047.067,2075.235,0.0
2014-03-04 00:00:00.005,2068.107,2074.025,2050.125,2071.473,0.0
2014-03-05 00:00:00.005,2073.295,2074.815,2050.175,2053.084,0.0
2014-03-06 00:00:00.005,2050.032,2065.79,2030.946,2059.578,0.0
2014-03-07 00:00:00.005,2058.375,2079.49,2050.47,2057.908,0.0
2014-03-10 00:00:00.005,2042.352,2042.634,1995.549,1999.065,0.0
2014-03-11 00:00:00.005,1994.415,2008.071,1985.599,2001.157,0.0
2014-03-12 00:00:00.005,1996.239,2011.06,1974.382,1997.692,0.0
2014-03-13 00:00:00.005,2000.695,2029.12,1996.529,2019.111,0.0
2014-03-14 00:00:00.005,2008.825,2017.913,1990.98,2004.339,0.0
2014-03-17 00:00:00.005,2009.882,2024.372,1999.249,2023.673,0.0
2014-03-18 00:00:00.005,2026.224,2034.917,2020.41,2025.196,0.0
2014-03-19 00:00:00.005,2019.98,2022.181,2002.441,2021.734,0.0
2014-03-20 00:00:00.005,2017.22,2030.847,1993.002,1993.479,0.0
2014-03-21 00:00:00.005,1987.679,2052.472,1986.071,2047.619,0.0
2014-03-24 00:00:00.005,2050.827,2074.056,2043.33,2066.279,0.0
2014-03-25 00:00:00.005,2063.323,2079.551,2057.491,2067.311,0.0
2014-03-26 00:00:00.005,2070.574,2074.572,2057.648,2063.67,0.0
2014-03-27 00:00:00.005,2060.812,2073.982,2042.713,2046.588,0.0
2014-03-28 00:00:00.005,2046.851,2060.134,2035.243,2041.712,0.0
2014-03-31 00:00:00.005,2043.045,2048.134,2024.185,2033.306,0.0
2014-04-01 00:00:00.005,2031.005,2050.681,2028.096,2047.46,0.0
2014-04-02 00:00:00.005,2049.423,2060.778,2046.742,2058.988,0.0
2014-04-03 00:00:00.005,2063.497,2066.007,2037.447,2043.702,0.0
2014-04-04 00:00:00.005,2037.552,2060.104,2035.221,2058.831,0.0
2014-04-08 00:00:00.005,2054.53,2102.452,2052.9,2098.284,0.0
2014-04-09 00:00:00.005,2100.651,2108.75,2095.64,2105.237,0.0
2014-04-10 00:00:00.005,2105.876,2146.67,2098.079,2134.3,0.0
2014-04-11 00:00:00.005,2130.368,2138.651,2120.179,2130.542,0.0
2014-04-14 00:00:00.005,2127.409,2134.434,2116.61,2131.539,0.0
2014-04-15 00:00:00.005,2125.902,2125.902,2098.15,2101.601,0.0
2014-04-16 00:00:00.005,2097.213,2112.05,2092.157,2105.122,0.0
2014-04-17 00:00:00.005,2108.947,2110.716,2095.714,2098.885,0.0
2014-04-18 00:00:00.005,2091.48,2099.637,2081.185,2097.748,0.0
2014-04-21 00:00:00.005,2085.98,2103.078,2065.234,2065.826,0.0
