,OPEN,HIGH,LOW,CLOSE,MACD
2014-09-19 00:00:00.005,4110.356,4142.659,4108.585,4136.994,0.0
2014-09-22 00:00:00.005,4131.371,4131.371,4069.88,4073.92,0.0
2014-09-23 00:00:00.005,4073.276,4105.215,4073.276,4101.334,0.0
2014-09-24 00:00:00.005,4094.543,4160.967,4085.605,4158.833,0.0
2014-09-25 00:00:00.005,4166.402,4179.331,4138.442,4145.032,0.0
2014-09-26 00:00:00.005,4142.17,4150.761,4126.823,4147.383,0.0
2014-09-29 00:00:00.005,4148.618,4166.458,4147.808,4166.197,0.0
2014-09-30 00:00:00.005,4166.414,4176.034,4162.459,4175.702,0.0
2014-10-08 00:00:00.005,4178.383,4208.591,4167.009,4208.414,0.0
2014-10-09 00:00:00.005,4210.606,4220.026,4191.605,4211.581,0.0
2014-10-10 00:00:00.005,4200.491,4210.531,4182.941,4191.31,0.0
2014-10-13 00:00:00.005,4182.883,4182.883,4143.086,4172.169,0.0
2014-10-14 00:00:00.005,4168.504,4184.213,4148.705,4156.433,0.0
2014-10-15 00:00:00.005,4155.992,4180.537,4140.303,4179.803,0.0
2014-10-16 00:00:00.005,4168.138,4198.659,4157.14,4162.082,0.0
2014-10-17 00:00:00.005,4161.729,4168.089,4118.363,4148.804,0.0
2014-10-20 00:00:00.005,4155.005,4166.502,4149.215,4164.909,0.0
2014-10-21 00:00:00.005,4163.575,4171.827,4141.646,4142.458,0.0
2014-10-22 00:00:00.005,4142.102,4156.815,4124.386,4126.091,0.0
2014-10-23 00:00:00.005,4124.065,4127.83,4094.131,4095.056,0.0
2014-10-24 00:00:00.005,4096.58,4106.095,4088.549,4091.436,0.0
2014-10-27 00:00:00.005,4083.717,4083.717,4055.736,4064.618,0.0
2014-10-28 00:00:00.005,4067.915,4125.589,4067.758,4124.508,0.0
2014-10-29 00:00:00.005,4130.713,4180.837,4126.122,4167.756,0.0
2014-10-30 00:00:00.005,4166.774,4193.994,4162.763,4184.809,0.0
2014-10-31 00:00:00.005,4189.485,4246.923,4189.045,4243.913,0.0
2014-11-03 00:00:00.005,4245.936,4254.176,4233.491,4240.372,0.0
2014-11-04 00:00:00.005,4237.075,4243.367,4228.66,4235.598,0.0
2014-11-05 00:00:00.005,4237.026,4241.943,4222.588,4228.954,0.0
2014-11-06 00:00:00.005,4230.206,4236.261,4204.572,4230.377,0.0
2014-11-07 00:00:00.005,4230.512,4275.339,4214.996,4226.852,0.0
2014-11-10 00:00:00.005,4247.142,4307.994,4245.491,4307.273,0.0
2014-11-11 00:00:00.005,4316.639,4356.033,4275.225,4300.017,0.0
2014-11-12 00:00:00.005,4292.012,4344.94,4282.957,4344.313,0.0
2014-11-13 00:00:00.005,4345.575,4360.971,4319.264,4336.416,0.0
2014-11-14 00:00:00.005,4336.404,4337.335,4308.52,4336.58,0.0
2014-11-17 00:00:00.005,4364.124,4377.497,4319.149,4319.723,0.0
2014-11-18 00:00:00.005,4320.742,4321.399,4277.189,4283.0,0.0
2014-11-19 00:00:00.005,4281.447,4291.783,4271.556,4277.962,0.0
2014-11-20 00:00:00.005,4271.543,4287.886,4258.862,4281.199,0.0
2014-11-21 00:00:00.005,4281.567,4349.607,4273.922,4347.15,0.0
2014-11-24 00:00:00.005,4371.441,4454.944,4370.704,4427.078,0.0
2014-11-25 00:00:00.005,4425.136,4470.232,4421.644,4466.611,0.0
2014-11-26 00:00:00.005,4475.172,4520.541,4475.172,4520.27,0.0
2014-11-27 00:00:00.005,4535.189,4566.559,4528.403,4566.099,0.0
2014-11-28 00:00:00.005,4561.866,4654.069,4555.54,4649.142,0.0
2014-12-01 00:00:00.005,4671.093,4709.412,4655.972,4664.389,0.0
2014-12-02 00:00:00.005,4655.829,4843.122,4650.126,4817.386,0.0
2014-12-03 00:00:00.005,4826.656,4938.614,4798.313,4853.592,0.0
2014-12-04 00:00:00.005,4867.883,5079.38,4859.165,5075.798,0.0
2014-12-05 00:00:00.005,5116.733,5166.739,4942.024,5081.792,0.0
2014-12-08 00:00:00.005,5036.54,5273.269,5003.749,5245.01,0.0
2014-12-09 00:00:00.005,5211.832,5375.888,4936.088,4994.309,0.0
2014-12-10 00:00:00.005,5024.198,5164.261,4940.238,5152.725,0.0
2014-12-11 00:00:00.005,5111.739,5180.216,5072.175,5099.439,0.0
2014-12-12 00:00:00.005,5105.82,5174.225,5080.846,5108.449,0.0
2014-12-15 00:00:00.005,5098.179,5153.119,5042.597,5138.167,0.0
2014-12-16 00:00:00.005,5137.268,5255.676,5125.665,5253.463,0.0
2014-12-17 00:00:00.005,5272.272,5336.491,5227.685,5325.738,0.0
2014-12-18 00:00:00.005,5321.467,5367.27,5284.422,5309.051,0.0
2014-12-19 00:00:00.005,5311.609,5373.149,5233.035,5360.401,0.0
2014-12-22 00:00:00.005,5361.676,5436.237,5333.107,5360.705,0.0
2014-12-23 00:00:00.005,5335.837,5402.879,5258.525,5264.06,0.0
2014-12-24 00:00:00.005,5268.811,5286.446,5105.156,5151.974,0.0
2014-12-25 00:00:00.005,5172.997,5295.391,5165.736,5292.658,0.0
2014-12-26 00:00:00.005,5292.797,5454.668,5290.313,5450.394,0.0
2014-12-29 00:00:00.005,5523.504,5537.562,5381.968,5438.799,0.0
2014-12-30 00:00:00.005,5436.294,5485.779,5405.977,5447.699,0.0
2014-12-31 00:00:00.005,5452.84,5557.49,5443.682,5550.629,0.0
2015-01-05 00:00:00.005,5578.866,5715.046,5560.533,5665.094,0.0
2015-01-06 00:00:00.005,5642.771,5700.057,5594.136,5643.943,0.0
2015-01-07 00:00:00.005,5630.326,5678.487,5599.017,5643.38,0.0
2015-01-08 00:00:00.005,5650.311,5664.231,5538.988,5545.261,0.0
2015-01-09 00:00:00.005,5535.74,5717.481,5524.626,5536.13,0.0
2015-01-12 00:00:00.005,5537.597,5553.443,5441.784,5502.582,0.0
2015-01-13 00:00:00.005,5498.268,5536.889,5474.312,5494.742,0.0
2015-01-14 00:00:00.005,5500.449,5542.002,5453.079,5492.756,0.0
2015-01-15 00:00:00.005,5493.244,5626.981,5469.375,5623.771,0.0
2015-01-16 00:00:00.005,5636.696,5696.462,5626.261,5664.606,0.0
2015-01-19 00:00:00.005,5453.623,5478.996,5243.459,5252.6,0.0
2015-01-20 00:00:00.005,5269.891,5403.87,5269.891,5366.248,0.0
2015-01-21 00:00:00.005,5389.577,5577.61,5383.471,5562.626,0.0
2015-01-22 00:00:00.005,5567.856,5593.765,5521.223,5574.161,0.0
2015-01-23 00:00:00.005,5593.217,5655.481,5566.349,5597.563,0.0
2015-01-26 00:00:00.005,5608.262,5630.469,5567.926,5627.259,0.0
2015-01-27 00:00:00.005,5633.54,5639.135,5508.543,5582.458,0.0
2015-01-28 00:00:00.005,5548.404,5593.125,5510.799,5521.342,0.0
2015-01-29 00:00:00.005,5476.254,5494.264,5436.497,5467.448,0.0
2015-01-30 00:00:00.005,5481.012,5508.825,5408.009,5419.879,0.0
2015-02-02 00:00:00.005,5348.345,5385.259,5317.67,5326.131,0.0
2015-02-03 00:00:00.005,5356.714,5432.98,5338.614,5423.204,0.0
2015-02-04 00:00:00.005,5435.04,5473.628,5375.423,5378.513,0.0
2015-02-05 00:00:00.005,5487.315,5492.729,5341.921,5347.879,0.0
2015-02-06 00:00:00.005,5342.153,5355.42,5259.951,5286.971,0.0
2015-02-09 00:00:00.005,5278.836,5367.285,5276.974,5328.594,0.0
2015-02-10 00:00:00.005,5328.438,5396.091,5324.781,5393.65,0.0
2015-02-11 00:00:00.005,5398.789,5434.37,5398.789,5422.209,0.0
2015-02-12 00:00:00.005,5422.549,5447.392,5393.624,5438.168,0.0
2015-02-13 00:00:00.005,5445.258,5519.595,5445.258,5472.279,0.0
2015-02-16 00:00:00.005,5474.935,5514.804,5472.18,5508.693,0.0
